,text,url
54,>남성의류>하의>긴바지>슬랙스,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1151
55,>남성의류>하의>긴바지>면/치노,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1152
56,>남성의류>하의>긴바지>밴딩/조거,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1153
57,>남성의류>하의>긴바지>배기,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1154
58,>남성의류>하의>긴바지>린넨,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1155
59,>남성의류>하의>긴바지>트레이닝,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1156
60,>남성의류>하의>긴바지>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1157
61,>남성의류>하의>반바지>면/치노,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1158
62,>남성의류>하의>반바지>밴딩,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1159
63,>남성의류>하의>반바지>데님,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1160
64,>남성의류>하의>반바지>트레이닝,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1161
65,>남성의류>하의>반바지>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1162
66,>남성의류>하의>청바지>스키니,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1163
67,>남성의류>하의>청바지>스트레이트,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1164
68,>남성의류>하의>청바지>테이퍼드,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1165
69,>남성의류>하의>청바지>와이드,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1166
70,>남성의류>하의>청바지>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1167
71,>남성의류>정장>상의>솔리드,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1168
72,>남성의류>정장>상의>체크,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1169
73,>남성의류>정장>상의>스트라이프,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1170
74,>남성의류>정장>상의>더블버튼,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1171
75,>남성의류>정장>상의>베스트,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1172
76,>남성의류>정장>상의>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1173
77,>남성의류>정장>하의>솔리드,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1174
78,>남성의류>정장>하의>체크,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1175
79,>남성의류>정장>하의>스트라이프,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1176
80,>남성의류>정장>하의>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1177
81,>여성의류>아우터>다운/패딩>헤비,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1230
82,>여성의류>아우터>다운/패딩>경량,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1231
83,>여성의류>아우터>다운/패딩>베스트,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1232
84,>여성의류>아우터>다운/패딩>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1233
85,>여성의류>아우터>점퍼>바람막이,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1234
86,>여성의류>아우터>점퍼>야구/항공,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1235
87,>여성의류>아우터>점퍼>야상/사파리,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1236
88,>여성의류>아우터>점퍼>기타,https://topten.topten10mall.com/kr/front/search/categorySearch.do?ctgNo=1237
